,dc_creator,dc_title,dc:publisher,dc_source,dc_identifier
14610,"Boerlin, T.",Bei den Bergbauern im Baselbieter Jura [Fortsetzung],Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '1-2', None, '1']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::114', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::114', 'doi:10.5169/seals-1005015']"
14611,"Gabbud, Maurice",La chasse au loup au Vatzeret,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '1-2', None, '2']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::118', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::118', 'doi:10.5169/seals-1005016']"
14612,"Wyss, Gottlieb",Die Stimme des Blutes,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '1-2', None, '9']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::133', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::133', 'doi:10.5169/seals-1005017']"
14613,"Schwarz, Fritz",Hexenmilch,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '1-2', None, '10']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::136', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::136', 'doi:10.5169/seals-1005018']"
14614,"Tappolet, E.",Zur Etymologie von boche und alboche,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '17']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::146', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::146', 'doi:10.5169/seals-1005019']"
14615,"Krebs, Werner",Abergläubische Kriegsgräuel im 15. Jahrhundert,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '20']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::147', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::147', 'doi:10.5169/seals-1005020']"
14616,"Gabbud, Maurice","Sabbat et ""Conjures"" : légende de Bourg-St-Pierre, Valais",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '21']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::150', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::150', 'doi:10.5169/seals-1005021']"
14617,"Knuchel, E.F.","Volkstümliches in Gottfried Kellers ""Grünem Heinrich""",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '22']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::155', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::155', 'doi:10.5169/seals-1005022']"
14618,"Müller, Josef",Kartenspielausdrücke in Uri,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '28']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::159', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::159', 'doi:10.5169/seals-1005023']"
14619,"Kessler, Gottfried",Wunderbare Äusserungen des Blutes,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '28']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::161', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::161', 'doi:10.5169/seals-1005024']"
14620,"Knuchel, E.F.","Volkstümliches in Gottfried Kellers ""Grünem Heinrich"" [Schluss]",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '5-6', None, '36']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::173', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::173', 'doi:10.5169/seals-1005025']"
14621,"Gabbud, M.",I. Joujoux alpicoles et Musique rustique,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '5-6', None, '41']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::176', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::176', 'doi:10.5169/seals-1005026']"
14622,"Anneler, Hedwig","Der ""schreiende"" Bach",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '5-6', None, '43']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::179', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::179', 'doi:10.5169/seals-1005027']"
14623,"Singer, S.",Verspottung mangelhafter Kenntnis des Deutschen,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '5-6', None, '44']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::182', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::182', 'doi:10.5169/seals-1005028']"
14624,"Müller, Joseph",Volksglaube aus Uri,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '10-11', None, '81']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::197', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::197', 'doi:10.5169/seals-1005029']"
